"","HabitatCover","Species","Total Sightings","Overlap","LowerCI","UpperCI"
"1","Closed","Human",4873,1,1,1
"2","Open","Human",14343,1,1,1
"3","Closed","Fox",871,0.0788763235156788,0.0671939619972401,0.0910895997734909
"4","Open","Fox",746,0.0645287788902657,0.0541221635261667,0.0764288261706622
"5","Closed","Hedgehog",210,0.0472834731232503,0.0301750290240638,0.0664169791274201
"6","Open","Hedgehog",159,0.0516363654859434,0.029781909966324,0.0765003707142502
