"","Human Abundance","Species","Total Sightings","Overlap","LowerCI","UpperCI"
"1","High","Human",18993,1,1,1
"2","Low","Human",223,1,1,1
"3","High","Fox",1212,0.0665642929941118,0.0578241481553996,0.0756238171844857
"4","Low","Fox",405,0.102059065116405,0.0660448341633633,0.139697647179269
"5","High","Hedgehog",272,0.0452490682380844,0.0321018553111947,0.0601622775271667
"6","Low","Hedgehog",97,0.0662875923611139,0.0264376586927281,0.116364142989028
